"","state.name","state.abb","state.region","policy","adopt_year","GeoFips","dpi","pop","pcdpi","rps_adopted","rep.pct"
"1","Alabama","AL","South",NA,NA,"1000",123206.1,4569805,26961,0,60.8909027535727
"2","Alaska","AK","West",NA,NA,NA,NA,NA,NA,0,61.0647849165971
"3","Arizona","AZ","West","rps_yearadopted",2006,"4000",167738.1,5839077,28727,1,54.3139007196163
"4","Arkansas","AR","South",NA,NA,"5000",70833,2781097,25469,0,60.1717206107173
"5","California","CA","West","rps_yearadopted",2002,"6000",1209975.6,35827943,33772,1,37.7215504084146
"6","Colorado","CO","West","rps_yearadopted",2004,"8000",153717.8,4631888,33187,1,45.4493653068266
"7","Connecticut","CT","Northeast","rps_yearadopted",1998,"9000",146014.1,3506956,41636,1,38.6816617502458
"8","Delaware","DE","South","rps_yearadopted",2005,"10000",29078.3,845150,34406,1,37.3618613501114
"9","Florida","FL","South",NA,NA,"12000",568078.5,17842038,31839,0,48.5803399691007
"10","Georgia","GA","South",NA,NA,"13000",265059.9,8925922,29696,0,52.6283355108118
"11","Hawaii","HI","West","rps_yearadopted",2004,NA,NA,NA,NA,1,27.0062741215446
"12","Idaho","ID","West",NA,NA,"16000",37401.4,1428241,26187,0,63.0245898050205
"13","Illinois","IL","North Central","rps_yearadopted",2007,"17000",421300.6,12609903,33410,1,37.2657359554406
"14","Indiana","IN","North Central",NA,NA,"18000",176595.4,6278616,28126,0,49.4780465546219
"15","Iowa","IA","North Central",NA,NA,"19000",87012.9,2964454,29352,0,45.1512222105327
"16","Kansas","KS","North Central",NA,NA,"20000",79360.5,2745299,28908,0,57.6122758189094
"17","Kentucky","KY","South",NA,NA,"21000",109211.5,4182742,26110,0,58.2334275877046
"18","Louisiana","LA","South",NA,NA,"22000",126348.2,4576628,27607,0,59.4571741615854
"19","Maine","ME","Northeast","rps_yearadopted",2006,"23000",38722.3,1318787,29362,1,41.1704750165924
"20","Maryland","MD","South","rps_yearadopted",2004,"24000",210307.2,5592379,37606,1,37.0699127071145
"21","Massachusetts","MA","Northeast","rps_yearadopted",1997,"25000",242062.2,6403290,37803,1,36.802921786647
"22","Michigan","MI","North Central","rps_yearadopted",2008,"26000",295223.5,10051137,29372,1,41.6286984238455
"23","Minnesota","MN","North Central","rps_yearadopted",2001,"27000",169647.8,5119598,33137,1,44.7706250046073
"24","Mississippi","MS","South",NA,NA,"28000",71859.7,2905943,24729,0,56.6419309928638
"25","Missouri","MO","North Central","rps_yearadopted",2008,"29000",167661.3,5790300,28956,1,50.0675791496766
"26","Montana","MT","West","rps_yearadopted",2005,"30000",25281.7,940102,26892,1,51.1694032839407
"27","Nebraska","NE","North Central",NA,NA,"31000",54755.6,1761497,31085,0,57.6090744221656
"28","Nevada","NV","West","rps_yearadopted",2005,"32000",81572.3,2432143,33539,1,43.6132618748039
"29","New Hampshire","NH","Northeast","rps_yearadopted",2007,"33000",47430.3,1298492,36527,1,45.1314588798905
"30","New Jersey","NJ","Northeast","rps_yearadopted",1999,"34000",331779.7,8651974,38347,1,42.135370128576
"31","New Mexico","NM","West","rps_yearadopted",2006,"35000",50465.3,1932274,26117,1,42.3350999812024
"32","New York","NY","Northeast","rps_yearadopted",2004,"36000",659555.4,19132610,34473,1,34.2361426202157
"33","North Carolina","NC","South","rps_yearadopted",2008,"37000",250047.8,8705407,28723,1,49.8340366999327
"34","North Dakota","ND","North Central",NA,NA,"38000",18801.6,646089,29101,0,54.4086562819681
"35","Ohio","OH","North Central",NA,NA,"39000",329124.8,11463320,28711,0,47.6661592377459
"36","Oklahoma","OK","South",NA,NA,"40000",101725.7,3548597,28666,0,65.6450811226935
"37","Oregon","OR","West","rps_yearadopted",2007,"41000",101500,3613202,28091,1,41.5862788227728
"38","Pennsylvania","PA","Northeast","rps_yearadopted",2004,"42000",400473.7,12449990,32167,1,44.7702961845156
"39","Rhode Island","RI","Northeast","rps_yearadopted",2004,"44000",34893.2,1067916,32674,1,35.8018624908542
"40","South Carolina","SC","South",NA,NA,"45000",112181.6,4270150,26271,0,54.5444291892091
"41","South Dakota","SD","North Central",NA,NA,"46000",24042.1,775493,31002,0,54.2957072341154
"42","Tennessee","TN","South",NA,NA,"47000",173077.8,5991057,28889,0,57.6314718023545
"43","Texas","TX","South","rps_yearadopted",1999,"48000",685452.2,22778123,30093,1,55.9359367509407
"44","Utah","UT","West",NA,NA,"49000",62993.2,2457719,25631,0,64.5263613727401
"45","Vermont","VT","Northeast","rps_yearadopted",2005,"50000",19286,621215,31046,1,31.1008182606619
"46","Virginia","VA","South",NA,NA,"51000",265957.4,7577105,35100,0,46.8174155938724
"47","Washington","WA","West","rps_yearadopted",2007,"53000",210568.1,6257305,33652,1,41.247973197891
"48","West Virginia","WV","South",NA,NA,"54000",44433,1820492,24407,0,56.6737437671373
"49","Wisconsin","WI","North Central","rps_yearadopted",1998,"55000",168712.5,5546166,30420,1,42.9443217521816
"50","Wyoming","WY","West",NA,NA,"56000",17923.1,514157,34859,0,66.5620233550959
